pert_name	n_signatures	min_score	median_score	mean_score	best_fdr_q_nlog10	best_cell	moa	targets	direction
BRD-K08123827	2	0	0.53425	0.53425	-0	MCF7	-666		positive_or_zero
BRD-K08138210	1	0	0	0	-0	MCF7	-666		positive_or_zero
BRD-K08141534	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08142337	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08159565	2	0	0.53055	0.53055	-0	VCAP	-666		positive_or_zero
BRD-K08171986	2	0	0.51495	0.51495	-0	VCAP	-666		positive_or_zero
BRD-K08185175	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08210330	2	0	0.4517	0.4517	-0	VCAP	-666		positive_or_zero
BRD-K08212968	3	0	0.9044	0.634	-0	VCAP	-666		positive_or_zero
BRD-K08221563	5	0	0	0.35106000000000004	-0	A375	-666		positive_or_zero
BRD-K08240821	2	0	0.5757	0.5757	-0	U2OS	-666		positive_or_zero
BRD-K08259535	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08260539	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08262651	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08288431	2	0	0.42005	0.42005	-0	VCAP	-666		positive_or_zero
BRD-K08308527	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08325710	9	0	0	0.3544777777777778	-0	HA1E	-666		positive_or_zero
BRD-K08369728	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08388529	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08394807	2	0	0.58655	0.58655	-0	U2OS	-666		positive_or_zero
BRD-K08403039	2	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08406395	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08412560	4	0	0.4628	0.4978	-0	HT29	-666		positive_or_zero
BRD-K08416835	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08433493	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08436070	1	0	0	0	-0	HT29	-666		positive_or_zero
BRD-K08438266	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08442552	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08464293	2	0	0.45685	0.45685	-0	U2OS	-666		positive_or_zero
BRD-K08482401	1	0	0	0	-0	VCAP	-666		positive_or_zero
BRD-K08502366	1	0	0	0	-0	PC3	-666		positive_or_zero
BRD-K08520424	5	0	0.8292	0.6105200000000001	-0	HT29	-666		positive_or_zero
BRD-K08527280	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08533345	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08534346	1	0	0	0	-0	U2OS	-666		positive_or_zero
BRD-K08590382	2	0	0.3524	0.3524	-0	U2OS	-666		positive_or_zero
BRD-K08594759	2	0	0.42575	0.42575	-0	A375	-666		positive_or_zero
BRD-K08607084	2	0	0.54245	0.54245	-0	VCAP	-666		positive_or_zero
