mature_mirna_id	n_targets_total	n_targets_BROAD	n_targets_PPI_core	n_hits_TOP2A	n_hits_PARP1	hits_any_core_hub	hits_TOP2A_or_PARP1	logFC	adj.P.Val
hsa-miR-4756-3p	3	3	0	0	0	FALSE	FALSE	-1.7788747328999994	1.9295682019571648e-5
hsa-miR-4764-3p	3	3	0	0	0	FALSE	FALSE	-17.3908452106	3.0014017835256343e-6
hsa-miR-5572	3	3	0	0	0	FALSE	FALSE	-3.732434420099997	2.329132235590129e-4
hsa-miR-5585-3p	3	3	0	0	0	FALSE	FALSE	-1.0441573335999996	1.615740576636694e-6
hsa-miR-5701	3	3	0	0	0	FALSE	FALSE	1.0294417673000007	0.0018920151224937
hsa-miR-610	3	3	0	0	0	FALSE	FALSE	1.1238172049	0.00614954121334413
hsa-miR-1322	2	2	0	0	0	FALSE	FALSE	-1.7451510703999986	0.01278331486538734
hsa-miR-2117	2	2	0	0	0	FALSE	FALSE	-1.6351403636999984	0.0018501072083388
hsa-miR-3157-3p	2	2	0	0	0	FALSE	FALSE	-1.3211349423999998	1.9295682019571648e-5
hsa-miR-3173-5p	2	2	0	0	0	FALSE	FALSE	-2.3230670762	9.638262781248204e-9
hsa-miR-3191-5p	2	2	0	0	0	FALSE	FALSE	-4.0839139787	4.64786634087962e-5
hsa-miR-3591-3p	2	2	0	0	0	FALSE	FALSE	-15.5338397138	6.438572723256674e-7
hsa-miR-3622a-3p	2	2	0	0	0	FALSE	FALSE	-1.3397666900999998	1.448640460961851e-10
hsa-miR-3649	2	2	0	0	0	FALSE	FALSE	-1.1547930230999992	8.962306682700816e-6
hsa-miR-4268	2	2	0	0	0	FALSE	FALSE	-2.2905923002999993	6.059516679706566e-11
hsa-miR-4290	2	2	0	0	0	FALSE	FALSE	-1.0514346587	3.973559928122129e-5
hsa-miR-4299	2	2	0	0	0	FALSE	FALSE	-1.7091838874999965	0.04163866433940384
hsa-miR-4302	2	2	0	0	0	FALSE	FALSE	1.1260886860000017	8.768105316111451e-4
hsa-miR-4446-5p	2	2	0	0	0	FALSE	FALSE	-14.3342256616	6.299236165784614e-6
hsa-miR-4456	2	2	0	0	0	FALSE	FALSE	-2.644726516999998	0.03232735124640268
hsa-miR-4502	2	2	0	0	0	FALSE	FALSE	1.4872295662000017	0.00641565675910065
hsa-miR-4529-3p	2	2	0	0	0	FALSE	FALSE	1.3645216351000018	6.075668435544951e-5
hsa-miR-4703-3p	2	2	0	0	0	FALSE	FALSE	1.4649519019000017	0.00227335115595466
hsa-miR-4711-3p	2	2	0	0	0	FALSE	FALSE	-5.721695536499997	6.83136468505912e-4
hsa-miR-4752	2	2	0	0	0	FALSE	FALSE	2.448760506800001	5.8128830978576664e-6
hsa-miR-4795-3p	2	2	0	0	0	FALSE	FALSE	-1.3461367630999994	3.6143796562419013e-4
hsa-miR-4803	2	2	0	0	0	FALSE	FALSE	3.3020915696000017	5.820488979669763e-6
hsa-miR-5193	2	2	0	0	0	FALSE	FALSE	-5.949116897799999	5.745368957037116e-7
hsa-miR-548ag	2	2	0	0	0	FALSE	FALSE	1.374020105300001	2.396727709159466e-4
hsa-miR-564	2	2	0	0	0	FALSE	FALSE	-1.9247505882	7.945226078360583e-8
hsa-miR-5681b	2	2	0	0	0	FALSE	FALSE	-11.084310590199998	3.603115803731903e-6
hsa-miR-122-3p	1	1	0	0	0	FALSE	FALSE	-3.6606326986999993	5.772783052272112e-8
hsa-miR-1255b-2-3p	1	1	0	0	0	FALSE	FALSE	-6.034435370999999	1.699882170118229e-7
hsa-miR-3116	1	1	0	0	0	FALSE	FALSE	1.3525885577000007	9.435574742580438e-6
hsa-miR-3145-3p	1	1	0	0	0	FALSE	FALSE	1.1706733731000003	4.8517506945531966e-4
hsa-miR-3145-5p	1	1	0	0	0	FALSE	FALSE	-5.868765133599999	6.457463370552283e-8
hsa-miR-3148	1	1	0	0	0	FALSE	FALSE	3.4079671384000054	1.393122726579151e-5
hsa-miR-3680-5p	1	1	0	0	0	FALSE	FALSE	-1.3463152330999997	6.192535630333372e-8
hsa-miR-3914	1	1	0	0	0	FALSE	FALSE	1.6022504053000004	0.00479787000974593
hsa-miR-3920	1	1	0	0	0	FALSE	FALSE	-1.9971844498999989	1.490696442555181e-5
hsa-miR-3936	1	1	0	0	0	FALSE	FALSE	1.3971510359000014	0.0018501072083388
hsa-miR-3976	1	1	0	0	0	FALSE	FALSE	1.266581330300002	5.386867040379827e-4
hsa-miR-4263	1	1	0	0	0	FALSE	FALSE	-1.2118498919999994	0.00987097543693343
hsa-miR-4264	1	1	0	0	0	FALSE	FALSE	-3.2514284768999993	1.8911172296985625e-7
hsa-miR-4275	1	1	0	0	0	FALSE	FALSE	-11.7901925248	2.5028526499270554e-8
hsa-miR-4288	1	1	0	0	0	FALSE	FALSE	-1.0749298344999991	0.02535081280552322
hsa-miR-4289	1	1	0	0	0	FALSE	FALSE	-1.2813676299999992	0.0013677163995337
hsa-miR-4420	1	1	0	0	0	FALSE	FALSE	1.3606905181000015	1.1440115615026182e-4
hsa-miR-4447	1	1	0	0	0	FALSE	FALSE	-10.331872262199994	2.609979662996777e-5
hsa-miR-4472	1	1	0	0	0	FALSE	FALSE	-2.971289723599999	0.00272225494498589
hsa-miR-4477b	1	1	0	0	0	FALSE	FALSE	1.391127185000002	1.3911256748955244e-4
hsa-miR-449c-3p	1	1	0	0	0	FALSE	FALSE	-2.7019795843	2.954065988897185e-9
hsa-miR-4504	1	1	0	0	0	FALSE	FALSE	1.1496819716000015	5.651279435380483e-4
hsa-miR-4648	1	1	0	0	0	FALSE	FALSE	1.4057763305000008	0.03119498233847949
hsa-miR-4714-3p	1	1	0	0	0	FALSE	FALSE	-1.6932232674999983	0.00230895933486268
hsa-miR-4732-3p	1	1	0	0	0	FALSE	FALSE	-4.250339760299999	2.1805158920691715e-4
hsa-miR-4732-5p	1	1	0	0	0	FALSE	FALSE	1.6108882092000023	0.01120992762844706
